suj	bloc	prob	start_time	end_time	SPEECH
100	1	1	1.074419	4.464572	Je n'ai eu que une pensée c'est de &-euh
100	1	1	4.99012	6.381711	réaliser la tâche
100	1	1	7.284764	8.01757	correctement
100	1	2	0.812522	2.9399	&-euh donc j'ai pensé au fait que
100	1	2	10.433306	12.442908	&-euh que je commençais réelement à:
100	1	2	12.898501	13.655625	avoir faim
100	1	2	3.576482	6.391172	&-euh le temps est beaucoup plus court
100	1	2	7.19002	8.267679	que ça faisait du bien
100	1	2	8.685826	9.89658	&-euh et ensuite
100	1	3	0.86771	3.826239	Je pense que l'experience est bientôt finie
100	1	3	5.442525	5.82842	voilà
100	1	4	1.147835	4.081604	J'ai l'impression que le fait que le temps soit plus court
100	1	4	11.111147	13.092739	&-euh beaucoup peu de choses
100	1	4	13.797656	14.790125	Donc je pense à ça
100	1	4	16.028805	17.553567	et donc &-euh
100	1	4	19.021419	21.755226	souvent j'aurais surement que une pensée je pense
100	1	4	4.653212	6.674722	ça me laisse moins de temps à:
100	1	4	9.477643	10.394626	à penser
100	1	5	1.530956	11.116978	Pour &-euh faire passer le temps j'imagine que: &-euh je me suis imaginé que de nouveau que la boule passait dans une anneau
100	1	5	12.030724	18.294035	ou &-euh ensuite j'ai pensé que c'était une cerise qui roulait sur le sol
100	1	6	1.170367	7.208448	Donc &-euh je vais dans un nouveau restau et je me suis demandé si on allait bien manger
100	1	6	10.898249	14.412822	la tête donc &-euh ça a dévié ma pensée
100	1	6	14.412822	18.063559	et &-euh je me suis reconcentré sur la tâche
100	1	6	7.208448	10.32128	ensuite &-euh je me suis chatouillé &-euh
100	1	7	1.592457	7.55873	donc &-euh j'ai pensé &-mmh au chat que &-euh j'ai du garder le week end passé
100	1	7	12.965588	16.190054	&-euh: ce qui m'a ensuite fait penser
100	1	7	17.237044	25.104753	la: maison qu'elle à acheté et du jardin auquel je pourais profiter &-euh durant l'été
100	1	7	7.55873	8.646381	ce qui m'a fait penser
100	1	7	9.063144	12.020247	au: petit chaton qu'une amie va adopter
100	2	1	1.39071	4.800096	&-euh j'ai pensé que le casque commençait à me faire mal
100	2	1	5.891154	6.695863	aux oreilles
100	2	2	1.133707	4.14586	Je n'ai pas eu l'impression d'avoir pensé à quelque chose
100	2	3	0.899352	7.371237	Je me suis rendue compte que mon visage s'approchait de pls en plus de l'écran et je me suis donc redréssée
100	2	4	1.540732	4.477877	Je pensais que &-euh à un pendule
100	2	5	1.20154	4.436249	J'ai pensé à: mes affaires qui sont à l'exterieur
100	2	5	4.980055	9.836806	à la pièce que j'ai laissé un peu comme ça éparpillées
100	2	6	0.732176	5.345482	J'ai pensé à: l'expérience et à l'examinatrice qui a
