suj	bloc	prob	start_time	end_time	SPEECH
21	1	1	0.612277	3.890957	j'ai pensé au tram qui passe et puis-je me suis concentrée sur la tâche
21	1	2	1.104442	7.552896	j'ai pensé à un sapin de noël éclairé parce qu'il y a une petite lumière bleue qui clignote sur l'ordinateur juste à côté de moi
21	1	2	8.223535	17.216979	puis j'ai pensé à rien et à la fin j'ai pensé au football parce que le point rouge sur l'écran me fait penser à une balle de football
21	1	3	0.937553	12.598963	j'étais concentrée sur la tâche puis j'ai plus pensé à rien et ensuite j'ai repensé à ce à quoi j'avais pensé à l'essai juste avant c'est-à-dire au sapin de noël
21	1	4	1.510962	8.39765	j'ai pensé à tout ce que je venais de dire pour l'essai précédent puis-je me suis concentrée sur la tâche et enfin j'ai plus pensé à rien
21	1	5	0.971762	4.152971	j'ai pensé à nouveau à noël et au sapin de noël
21	1	5	4.152971	7.814312	parce que j'ai, j'ai de nouveau repéré cette petite lumière bleue
21	1	5	7.814312	9.921857	ensuite je me suis concentrée sur la tâche
21	1	5	10.456158	14.887222	et enfin j'ai pensé à me mettre 2 minutes sur le dos parce que je commençais à avoir un peu mal
21	2	1	1.437054	3.288662	j'étais concentrée sur la tâche
21	2	1	3.288662	6.364678	puis j'ai pensé au tram qui passe juste à côté
21	2	1	6.364678	9.942934	et enfin j'ai pensé que j'appuyais parfois un peu trop tôt
21	2	2	1.164013	2.447972	je ne pensais à rien
21	2	2	2.447972	4.286368	et ensuite je me suis concentrée sur la tâche
21	2	3	0.333399	2.093123	j'étais concentrée sur la tâche
21	2	3	2.093123	9.228732	puis j'ai pensé à une porte qui s'ouvre parce que j'entendais une porte grincer et enfin j'entendais un bruit
21	2	3	9.228732	12.631655	et je me suis demandée si ce n'était pas le bruit de l'ordinateur
21	2	4	1.36238	4.262966	j'ai pensé au tram qui passe parce que j'en ai entendu un
21	2	4	4.262966	8.65422	puis j'ai pensé à la porte qui s'ouvre parce que j'ai de nouveau entendu une porte grincer
21	2	4	8.65422	11.081381	ensuite je me suis concentrée sur la tâche
21	2	4	11.081381	11.479144	
21	2	4	11.479144	15.489204	et puis-je me suis demandée si j'allais aller faire des courses ce soir
21	2	4	16.00228	18.390204	et enfin je me suis de nouveau reconcentrée sur la tâche
21	2	5	0.387308	6.524126	j'ai pensé à nouveau à cette petite lumière bleue qui clignotait à côté de moi sur l'autre ordinateur puis
21	2	5	7.473642	13.572662	j'ai pensé au clavier parce que j'entendais le bruit de la touche quand j'appuyais de sus je le suis concentrée sur la tâche
21	2	5	14.189014	17.579016	et enfin j'ai pensée à quel film j'allais regarder ce soir
21	2	6	0.656047	6.651676	j'ai pensé à la circulation qu'il pouvait y avoir dans l'avenue Bull parce que j'entendais les moteurs des voitures
21	2	6	6.651676	9.403017	puis-je me suis concentrée sur la tâche et puis
21	2	6	9.873037	12.260136	j'ai, j'ai plus pensé à rien
22	1	1	0.711631	3.382724	Au départ j'ai pensé à inviter une amie à boire un verre
22	1	2	0.588094	3.411344	Ensuite j'ai pensé à faire un entrainement de musculation
22	1	3	0.242929	4.131629	Ensuite j'ai pensé à passer mon test de permis de pratique
22	1	4	0.320389	3.387856	Ensuite j'ai pensé à mon futur mariage
22	1	5	0.060517	2.593001	Après j'ai pensé au sens de la vie
22	2	1	0.695153	4.784646	Ensuite j'ai revécu des bons moments passés avec ma mère
22	2	2	0.690464	4.747127	j'ai revécu des bons moments que j'ai passés avec mes frères en vacances
22	2	3	0.29319	2.335851	j'ai revécu les moments
22	2	3	2.797882	6.299588	que ma mère a passé à combattre sa maladie à l'hôpital
22	2	4	0.687084	3.995988	j'ai pensé au nombre d'enfants que je voudrais avoir plus tard
22	2	5	0.628217	3.688562	je me demandais quel est le but de la vie
22	2	6	0.843024	3.669401	je me demandais comment je pourrais rendre ma mère fière
23	1	1	0.918955	3.740173	d'abord au fait de
23	1	1	4.54478	8.618741	bien appuyer sur l'espace et puis-je me suis demandée si
23	1	1	9.484458	12.695402	l'ordinateur chargeait et
