suj	bloc	prob	SPEECH
21	1	1	j'ai pensé au tram qui passe et puis-je me suis concentrée sur la tâche
21	1	2	j'ai pensé à un sapin de noël éclairé parce qu'il y a une petite lumière bleue qui clignote sur l'ordinateur juste à côté de moi
21	1	2	puis
21	1	2	j'ai pensé à rien et à la fin j'ai pensé au football parce que le point rouge sur l'écran me fait penser à une balle de football
21	1	3	j'étais concentrée sur la tâche puis j'ai plus pensé à rien
21	1	3	et ensuite j'ai repensé à ce à quoi j'avais pensé à l'essai juste avant c'est-à-dire au sapin de noël
21	1	4	j'ai pensé à tout ce que je venais de dire pour l'essai précédent
21	1	4	puis-je me suis concentrée sur la tâche et enfin j'ai plus pensé à rien
21	1	5	j'ai pensé à nouveau à noël et au sapin de noël
21	1	5	parce que j'ai, j'ai de nouveau repéré cette petite lumière bleue
21	1	5	ensuite je me suis concentrée sur la tâche
21	1	5	et enfin j'ai pensé à me mettre 2 minutes sur le dos parce que je commençais à avoir un peu mal
21	2	1	j'étais concentrée sur la tâche
21	2	1	puis j'ai pensé au tram qui passe juste à côté
21	2	1	et enfin j'ai pensé que j'appuyais parfois un peu trop tôt
21	2	2	je ne pensais à rien
21	2	2	et ensuite je me suis concentrée sur la tâche
21	2	3	j'étais concentrée sur la tâche
21	2	3	puis j'ai pensé à une porte qui s'ouvre parce que j'entendais une porte grincer et enfin
21	2	3	j'entendais un bruit
21	2	3	et je me suis demandée si ce n'était pas le bruit de l'ordinateur
21	2	4	j'ai pensé au tram qui passe parce que j'en ai entendu un
21	2	4	puis j'ai pensé à la porte qui s'ouvre parce que j'ai de nouveau entendu une porte grincer
21	2	4	ensuite je me suis concentrée sur la tâche
21	2	4	
21	2	4	
21	2	4	et puis-je me suis demandée si j'allais aller faire des courses ce soir
21	2	4	et enfin je me suis de nouveau reconcentrée sur la tâche
21	2	5	j'ai pensé à nouveau à cette petite lumière bleue qui clignotait à côté de moi sur l'autre ordinateur
21	2	5	puis
21	2	5	j'ai pensé au clavier parce que j'entendais
21	2	5	le bruit de la touche quand j'appuyais de sus
21	2	5	je le suis concentrée sur la tâche
21	2	5	et enfin j'ai pensée à
21	2	5	quel film j'allais regarder ce soir
21	2	6	j'ai pensé à la circulation qu'il pouvait y avoir dans l'avenue Bull parce que j'entendais les moteurs des voitures
21	2	6	puis-je me suis concentrée sur la tâche et puis
21	2	6	j'ai, j'ai plus pensé à rien
22	1	1	Au départ j'ai pensé à inviter une amie à boire un verre
22	1	2	Ensuite j'ai pensé à faire un entrainement de musculation
22	1	3	Ensuite j'ai pensé à passer mon test de permis de pratique
22	1	4	Ensuite j'ai pensé à mon futur mariage
22	1	5	Après j'ai pensé au sens de la vie
22	2	1	Ensuite j'ai revécu des bons moments passés avec ma mère
22	2	2	j'ai revécu des bons moments
22	2	2	que j'ai passé avec mes frères en vacances
22	2	3	j'ai revécu les moments
22	2	3	que ma mère a passé à combattre sa maladie à l'hôpital
22	2	4	j'ai pensé au nombre d'enfants que je voudrais avoir plus tard
22	2	5	je me demandais
22	2	5	quel est le but de la vie
22	2	6	je me demandais comment je pourrais rendre ma mère fière
23	1	1	
23	1	1	d'abord
23	1	1	au fait de
23	1	1	bien appuyer sur l'espace
23	1	1	et puis-je me suis demandée si
23	1	1	l'ordinateur chargeait
23	1	1	et
23	1	1	et ensuite je me suis demandée si le mien était chargé ou pas pour que je puisse travailler après
23	1	2	
23	1	2	d'abord que je passais trop de temps devant
23	1	2	des écrans
23	1	2	et ensuite je me suis dit que je devais aller chez le coiffeur
23	1	2	et après je me suis de mander comment ça m'est venu de penser à ça parce que ça n'avait rien à voir avec
23	1	2	la chose d'avant
23	1	3	j'ai d'abord pensé à une amie
23	1	3	et
23	1	3	et après j'ai mi ma main sous mon cou du coup
23	1	3	j'ai senti mon cœur
23	1	3	et
23	1	3	je me suis de mander si j'étais
23	1	3	relaxée ou s'il battait plutôt rapidement
23	1	4	d'abord j'ai pensé à suivre la boule rouge
23	1	4	puis j'ai
23	1	4	j'ai pensé à ce que
23	1	4	j'ai dit dans les enregistrements précédents
23	1	4	et puis-je me suis reconcentrée sur la tâche
23	1	5	j'ai essayé de penser
23	1	5	à ce qu'il me restait à faire pour le reste de la journée, mais
23	1	5	j'avais du mal à penser en fait
23	1	5	et
23	1	5	et à la fin, c'est comme si le bouton rouge
23	1	5	ralentissait du coup ça m'a un peu perturbée
23	2	1	je me suis
23	2	1	d'abord demandée ce que j'allais faire à manger demain
23	2	1	et je me suis rappelée que
23	2	1	j'avais l'anniversaire d'une amie
23	2	1	et
23	2	1	que du coup j'allais devoir dépenser de l'argent
23	2	2	
23	2	2	j'ai repensé à ce que j'avais acheté ce geek
23	2	2	avec maman
23	2	2	et ensuite au fait que
23	2	2	j'aimerais bien
23	2	2	de nouveau
23	2	2	prendre du temps pour moi
23	2	2	ce geek
23	2	3	
23	2	3	je me souviens plus ce que j'ai pensé au début
23	2	3	mais
23	2	3	après
23	2	3	j'ai pensé au fait que j'étais un peu fatiguée et que
23	2	3	j'espère que je serais capable de faire tout ce que j'ai prévu de faire cette après midi
23	2	3	et ensuite je me suis reconcentrée sur la tâche
23	2	4	j'ai d'abord pensé
23	2	4	au fait que
23	2	4	j'aimerais voir une amie juste après mais
23	2	4	je n'étais pas sûre que ça allait pouvoir se faire puis
23	2	4	je pensais au fait que j'avais oublié de demander d'acheter
23	2	4	d'acheter un ingrédient
23	2	4	pour cuisiner ce soir
23	2	4	et ensuite j'ai pensé aller
23	2	4	au magasin au fait que j'ai aussi envie
23	2	4	acheter du matcha et du coup ça m'a donné envie de boire un match latte
23	2	5	je me suis demandée si j'avais beaucoup de soirées de libres
23	2	5	cette semaine puis
23	2	5	je me suis dit que
23	2	5	j'avais envie que le temps passe
23	2	5	passe plus vite
23	2	5	et j'avais envie d'être mercredi prochain
23	2	6	d'abord j'ai j'étais concentrée sur la tâche
23	2	6	et puis je ne sais pas pourquoi j'ai pensée
