suj	bloc	prob	SPEECH
21	1	1	j'ai pensé au tram qui passe et puis-je me suis concentrée sur la tâche
21	1	2	j'ai pensé à un sapin de noël éclairé parce qu'il y a une petite lumière bleue qui clignote sur l'ordinateur juste à côté de moi puis j'ai pensé à rien et à la fin j'ai pensé au football parce que le point rouge sur l'écran me fait penser à une balle de football
21	1	3	j'étais concentrée sur la tâche puis j'ai plus pensé à rien et ensuite j'ai repensé à ce à quoi j'avais pensé à l'essai juste avant c'est-à-dire au sapin de noël
21	1	4	j'ai pensé à tout ce que je venais de dire pour l'essai précédent puis-je me suis concentrée sur la tâche et enfin j'ai plus pensé à rien
21	1	5	j'ai pensé à nouveau à noël et au sapin de noël parce que j'ai, j'ai de nouveau repéré cette petite lumière bleue ensuite je me suis concentrée sur la tâche et enfin j'ai pensé à me mettre 2 minutes sur le dos parce que je commençais à avoir un peu mal
21	2	1	j'étais concentrée sur la tâche puis j'ai pensé au tram qui passe juste à côté et enfin j'ai pensé que j'appuyais parfois un peu trop tôt
21	2	2	je ne pensais à rien et ensuite je me suis concentrée sur la tâche
21	2	3	j'étais concentrée sur la tâche puis j'ai pensé à une porte qui s'ouvre parce que j'entendais une porte grincer et enfin j'entendais un bruit et je me suis demandée si ce n'était pas le bruit de l'ordinateur
21	2	4	j'ai pensé au tram qui passe parce que j'en ai entendu un puis j'ai pensé à la porte qui s'ouvre parce que j'ai de nouveau entendu une porte grincer ensuite je me suis concentrée sur la tâche et puis-je me suis demandée si j'allais aller faire des courses ce soir et enfin je me suis de nouveau reconcentrée sur la tâche
21	2	5	j'ai pensé à nouveau à cette petite lumière bleue qui clignotait à côté de moi sur l'autre ordinateur puis j'ai pensé au clavier parce que j'entendais le bruit de la touche quand j'appuyais de sus je le suis concentrée sur la tâche et enfin j'ai pensée à quel film j'allais regarder ce soir
21	2	6	j'ai pensé à la circulation qu'il pouvait y avoir dans l'avenue Bull parce que j'entendais les moteurs des voitures puis-je me suis concentrée sur la tâche et puis j'ai, j'ai plus pensé à rien
22	1	1	Au départ j'ai pensé à inviter une amie à boire un verre
22	1	2	Ensuite j'ai pensé à faire un entrainement de musculation
22	1	3	Ensuite j'ai pensé à passer mon test de permis de pratique
22	1	4	Ensuite j'ai pensé à mon futur mariage
22	1	5	Après j'ai pensé au sens de la vie
22	2	1	Ensuite j'ai revécu des bons moments passés avec ma mère
22	2	2	j'ai revécu des bons moments que j'ai passés avec mes frères en vacances
22	2	3	j'ai revécu les moments que ma mère a passé à combattre sa maladie à l'hôpital
22	2	4	j'ai pensé au nombre d'enfants que je voudrais avoir plus tard
22	2	5	je me demandais quel est le but de la vie
22	2	6	je me demandais comment je pourrais rendre ma mère fière
23	1	1	d'abord au fait de bien appuyer sur l'espace et puis-je me suis demandée si l'ordinateur chargeait et et ensuite je me suis demandée si le mien était chargé ou pas pour que je puisse travailler après
23	1	2	d'abord que je passais trop de temps devant des écrans et ensuite je me suis dit que je devais aller chez le coiffeur et après je me suis de mander comment ça m'est venu de penser à ça parce que ça n'avait rien à voir avec la chose d'avant
23	1	3	j'ai d'abord pensé à une amie et et après j'ai mi ma main sous mon cou du coup j'ai senti mon cœur et je me suis de mander si j'étais relaxée ou s'il battait plutôt rapidement
23	1	4	d'abord j'ai pensé à suivre la boule rouge puis j'ai j'ai pensé à ce que j'ai dit dans les enregistrements précédents et puis-je me suis reconcentrée sur la tâche
23	1	5	j'ai essayé de penser à ce qu'il me restait à faire pour le reste de la journée, mais j'avais du mal à penser en fait et et à la fin, c'est comme si le bouton rouge ralentissait du coup ça m'a un peu perturbée
23	2	1	je me suis d'abord demandée ce que j'allais faire à manger demain et je me suis rappelée que j'avais l'anniversaire d'une amie et que du coup j'allais devoir dépenser de l'argent
23	2	2	j'ai repensé à ce que j'avais acheté ce geek avec maman et ensuite au fait que j'aimerais bien de nouveau prendre du temps pour moi ce geek
23	2	3	je me souviens plus ce que j'ai pensé au début, mais après j'ai pensé au fait que j'étais un peu fatiguée et que j'espère que je serais capable de faire tout ce que j'ai prévu de faire cette après midi et ensuite je me suis reconcentrée sur la tâche
23	2	4	j'ai d'abord pensé au fait que j'aimerais voir une amie juste après mais je n'étais pas sûre que ça allait pouvoir se faire puis je pensais au fait que j'avais oublié de demander d'acheter d'acheter un ingrédient pour cuisiner ce soir et ensuite j'ai pensé aller au magasin au fait que j'ai aussi envie acheter du matcha et du coup ça m'a donné envie de boire un match latte
23	2	5	je me suis demandée si j'avais beaucoup de soirées de libres cette semaine puis je me suis dit que j'avais envie que le temps passe passe plus vite et j'avais envie d'être mercredi prochain
23	2	6	d'abord j'ai j'étais concentrée sur la tâche et puis je ne sais pas pourquoi j'ai pensée je ne sais pas comment, mais ça m'a ça m'a rappelé un souvenir d'un voyage au Sri Lanka et d'une randonnée en particulier de la musique que j'écoutais à ce moment-là et du coup j'ai repensé à ce à quoi je ressemblais à ce qu'on avait fait durant ce voyage
24	1	1	au début je me suis fort concentrée sur le point rouge et après mon pied a un peu glissé comme ça du coup j'étais en train de me demander quelles chaussures j'avais puis-je me suis rappelé les chaussures
24	1	2	au tout début de la séquence j'ai j'avais l'impression qu'il y avait un petit courant d'air du coup je me suis demandée si la porte était bien fermée puis je suis dit qu'à la fin de la séquence je devrais du coup parce que mes manches sont retroussées du coup que je devais tirer sur mes manches
24	1	3	j'étais en train de me dire au début que les séquences étaient beaucoup plus courtes que que qu'à la partie d'avant et et puis j'ai oublié ah je sais plus désolée
24	1	4	au début encore une fois je pensais à rien enfin je me concentrais sur le point rouge puis j'étais en train de me dire que bon l'expérience ici elle est longue mais j'ai fait une autre expérience S'ONT la semaine passée et je me disais que c'était ici, c'était quand moins chiant que que l'autre expérience parce que l'autre expérience c'était vraiment enfin, c'était beaucoup moins long, c'était 30 min mais c'était enfin du coup je me disais que cette expérience était quand même mieux
